label,CPI,Compute_Density,Mem_Boundness,Stall_Ratio,Branch_MPKI,Vector_Intensity,Clock_Ratio
HighFreq,2175.9097160365,0.0,0.035295960911863,0.8165241785232,1.0038966276617,0.0,0.66666027542325
HighFreq,2098.8210757287,0.0,0.033738965916787,0.81886185491328,0.9795635065015,0.0,0.66664705015266
HighFreq,2108.2904363081,0.0,0.034150620345302,0.81833311097575,0.94183401792015,0.0,0.66665519534308
HighFreq,2147.1630596299,0.0,0.034992885180848,0.81758509526131,1.0164027359844,0.0,0.66669366037315
HighFreq,2194.9331243561,0.0,0.034100753957104,0.81861816756689,1.0214713870938,0.0,0.66664694125138
HighFreq,2138.1567930343,0.0,0.034608794323006,0.81905645321883,0.97790727842417,0.0,0.6666912085537
HighFreq,2218.529264548,0.0,0.035312702455648,0.81642902405448,1.0235565929173,0.0,0.66666763770228
HighFreq,2129.2006292023,0.0,0.034188737961112,0.81929076271076,0.99377612211521,0.0,0.66666004173812
HighFreq,2190.4245313878,0.0,0.033499418798227,0.81809102542207,0.97840499541464,0.0,0.66667804689157
HighFreq,2153.4873896251,0.0,0.035182127525162,0.81722924489413,1.0193972634209,0.0,0.66664862662974
HighFreq,2120.9229790231,0.0,0.034617440515415,0.81838558630157,0.98704957025163,0.0,0.66669204477072
HighFreq,2163.5365214004,0.0,0.035109129989469,0.8190813797753,0.99825449719421,0.0,0.66666980550139
HighFreq,2157.9762256919,0.0,0.035252850212075,0.81606605645763,0.99850942972738,0.0,0.66667344716986
HighFreq,2183.49058109,0.0,0.035002824217226,0.81890402564157,1.0190474526725,0.0,0.66666278014223
HighFreq,2171.0293824759,0.0,0.035505031206216,0.81812004846305,0.96976644550202,0.0,0.66665889636275
HighFreq,2120.348437553,0.0,0.034777593051267,0.81738670906044,1.0037435392845,0.0,0.66664605937569
HighFreq,2144.2399817004,0.0,0.03515518892876,0.81816841198934,0.99789840879523,0.0,0.66668911912947
HighFreq,2128.5758415246,0.0,0.033717751847111,0.81896284154489,0.97358269917998,0.0,0.66667368889632
HighFreq,2188.4710966887,0.0,0.036191515625502,0.8162647689347,1.0096971783925,0.0,0.66664365224705
HighFreq,2167.5767752266,0.0,0.034998728264891,0.81925820960665,1.011607473178,0.0,0.66665650462037
HighFreq,2099.1053562632,0.0,0.034484302924448,0.81830967857397,0.93768193828653,0.0,0.66669119948063
HighFreq,2061.4194252415,0.0,0.03352345349844,0.81705349790103,0.97579747392147,0.0,0.6666705679622
HighFreq,2175.6308353327,0.0,0.035286881797795,0.81839991424,1.0125069265338,0.0,0.666645733128
HighFreq,2115.8350953223,0.0,0.034322812185233,0.81901642173398,0.97057520688206,0.0,0.66668917876937
HighFreq,2146.8657961937,0.0,0.034925796995236,0.81607877520517,0.99051850494687,0.0,0.66665684806452
HighFreq,2162.2123373572,0.0,0.035329494967551,0.81888719306928,1.0090846449031,0.0,0.66665036548091
HighFreq,2085.9020315751,0.0,0.034356538089251,0.81811415425492,0.9317875858079,0.0,0.6666800696356
HighFreq,2158.1864997021,0.0,0.035348055454025,0.81733786249623,1.0217032800992,0.0,0.66664341313144
HighFreq,2171.3852514549,0.0,0.035513477518168,0.81865537121442,1.0133472306668,0.0,0.66666802434477
HighFreq,2158.2042541925,0.0,0.034322486322521,0.81869853797769,0.98713842098144,0.0,0.66667017703665
HighFreq,2160.4520679751,0.0,0.034546434014064,0.81647616883859,0.9967533496386,0.0,0.66666698224289
HighFreq,2091.5288419432,0.0,0.03448035411954,0.81877994522262,0.97622746657816,0.0,0.66667077856414
